Region,Community,Population,Lat,Lon
Alaska,Adak,122,51.88,-176.6580556
Alaska,Akhiok,84,56.9455556,-154.1702778
Alaska,Akiachak,562,60.9094444,-161.4313889
Alaska,Akiak,399,60.9122222,-161.2138889
Alaska,Akutan,899,54.135555600000004,-165.7730556
Alaska,Alakanuk,777,62.6888889,-164.6152778
Alaska,Alatna,1,66.5638889,-152.6666667
Alaska,Aleknagik,199,59.2730556,-158.6177778
Alaska,Aleneva,59,58.06,-152.9097222
Alaska,Allakaket,77,66.5655556,-152.6455556
Alaska,Ambler,280,67.0861111,-157.8513889
Alaska,Anaktuvuk Pass,247,68.1433333,-151.7358333
Alaska,Anchorage,299107,61.2180556,-149.9002778
Alaska,Anchor Point,1951,59.7766667,-151.8313889
Alaska,Anderson,201,64.3441667,-149.1869444
Alaska,Angoon,382,57.5033333,-134.5838889
Alaska,Aniak,525,61.5783333,-159.5222222
Alaska,Anvik,87,62.6561111,-160.2066667
Alaska,Arctic Village,138,68.1269444,-145.5377778
Alaska,Atka,66,52.1961111,-174.2005556
Alaska,Atmautluak,258,60.8669444,-162.2730556
Alaska,Atqasuk,159,70.4691667,-157.3994444
Alaska,Badger,21197,64.8,-147.5333333
Alaska,Barrow,4293,71.2905556,-156.7886111
Alaska,Bear Creek,1824,60.1641667,-149.395
Alaska,Beaver,60,66.3594444,-147.3963889
Alaska,Beluga,6,61.1411111,-151.0827778
Alaska,Bethel,6370,60.7922222,-161.7558333
Alaska,Bettles,22,66.9188889,-151.5161111
Alaska,Big Delta,539,64.1525,-145.8422222
Alaska,Big Lake,3815,61.5213889,-149.9544444
Alaska,Birch Creek,1,66.2590355,-145.81901680000001
Alaska,Brevig Mission,442,65.3347222,-166.4891667
Alaska,Buckland,596,65.9797222,-161.1230556
Alaska,Butte,3854,61.5422222,-149.0333333
Alaska,Cantwell,209,63.3916667,-148.9508333
Alaska,Central,58,65.5725,-144.8030556
Alaska,Chalkyitsik,101,66.6544444,-143.7222222
Alaska,Chase,23,62.4491667,-150.1016667
Alaska,Chefornak,516,60.16,-164.2658333
Alaska,Chenega,66,60.0663707,-148.012387
Alaska,Chevak,1082,61.5277778,-165.5863889
Alaska,Chickaloon,284,61.7966667,-148.4627778
Alaska,Chignik,70,56.2952778,-158.4022222
Alaska,Chignik Lagoon,73,56.3084393,-158.5302391
Alaska,Chignik Lake,70,56.2555556,-158.7625
Alaska,Chiniak,23,57.6319444,-152.1825
Alaska,Chistochina,59,62.5717828,-144.6541704
Alaska,Chitina,80,61.5158333,-144.4369444
Alaska,Chuathbaluk,116,61.5719444,-159.245
Alaska,Circle,118,65.8255556,-144.0605556
Alaska,Clam Gulch,182,60.2311111,-151.3936111
Alaska,Clarks Point,56,58.8441667,-158.5508333
Alaska,Coffman Cove,150,56.0138889,-132.8277778
Alaska,Cohoe,1577,60.3686111,-151.3063889
Alaska,Cold Bay,46,55.1858333,-162.7211111
Alaska,Coldfoot,10,67.2563889,-150.1841667
Alaska,College,14675,64.8569444,-147.8027778
Alaska,Cooper Landing,457,60.49,-149.8341667
Alaska,Copper Center,405,61.9769598,-145.3297294
Alaska,Cordova,2621,60.5427778,-145.7575
Alaska,Covenant Life,105,59.4172222,-136.025
Alaska,Craig,1231,55.4763889,-133.1483333
Alaska,Crooked Creek,98,61.87,-158.1108333
Alaska,Crown Point,132,60.4222222,-149.3666667
Alaska,Deering,144,66.0755556,-162.7172222
Alaska,Delta Junction,1045,64.0377778,-145.7322222
Alaska,Diamond Ridge,1140,59.6761111,-151.5575
Alaska,Dillingham,2307,59.0397222,-158.4575
Alaska,Diomede,43,65.7581,-168.952
Alaska,Dot Lake Village,54,63.6508333,-144.0438889
Alaska,Dry Creek,84,63.6533333,-144.6652778
Alaska,Eagle,89,64.7880556,-141.2
Alaska,Eagle Village,17,64.7805556,-141.11361110000001
Alaska,Eek,455,60.2188889,-162.0244444
Alaska,Egegik,68,58.2155556,-157.3758333
Alaska,Ekwok,78,59.3497222,-157.4752778
Alaska,Elfin Cove,24,58.1944444,-136.3433333
Alaska,Elim,328,64.6175,-162.2605556
Alaska,Emmonak,835,62.7777778,-164.5230556
Alaska,Ester,3008,64.8472222,-148.0144444
Alaska,Evansville,16,66.9227778,-151.5080556
Alaska,Excursion Inlet,40,58.4213889,-135.4366667
Alaska,Fairbanks,32193,64.8377778,-147.7163889
Alaska,False Pass,37,54.8508333,-163.415
Alaska,Ferry,6,64.0166667,-149.1166667
Alaska,Fort Yukon,555,66.5647222,-145.2738889
Alaska,Fox,558,64.9580556,-147.6183333
Alaska,Fox River,649,59.8583333,-150.9583333
Alaska,Fritz Creek,1910,59.7361111,-151.2952778
Alaska,Funny River,776,60.5019444,-150.7622222
Alaska,Gakona,205,62.301944399999996,-145.3019444
Alaska,Galena,554,64.7333333,-156.9275
Alaska,Gambell,718,63.7797222,-171.7411111
Alaska,Game Creek,36,58.0566667,-135.5077778
Alaska,Gateway,5610,61.5727778,-149.2408333
Alaska,Glennallen,366,62.1091667,-145.5463889
Alaska,Golovin,132,64.5433333,-163.0291667
Alaska,Goodnews Bay,230,59.1188889,-161.5875
Alaska,Grayling,171,62.9036111,-160.0647222
Alaska,Gulkana,115,62.2713889,-145.3822222
Alaska,Gustavus,496,58.4133333,-135.7369444
Alaska,Haines,1955,59.228589,-135.444114
Alaska,Halibut Cove,23,59.595,-151.225
Alaska,Happy Valley,607,59.9472222,-151.7322222
Alaska,Healy,1120,63.8569444,-148.9661111
Alaska,Hollis,124,55.5566667,-132.6363889
Alaska,Holy Cross,214,62.1994444,-159.7713889
Alaska,Homer,5324,59.6425,-151.5483333
Alaska,Hoonah,821,58.11,-135.4436111
Alaska,Hooper Bay,1140,61.5311111,-166.0966667
Alaska,Hope,50,60.9202778,-149.6402778
Alaska,Houston,1977,61.6302778,-149.8180556
Alaska,Hughes,62,66.0488889,-154.2555556
Alaska,Huslia,420,65.6986111,-156.3997222
Alaska,Hydaburg,277,55.2080556,-132.8266667
Alaska,Hyder,13,55.9169444,-130.0247222
Alaska,Igiugig,49,59.3277778,-155.8947222
Alaska,Iliamna,78,59.7567965,-154.9110837
Alaska,Juneau,32531,58.301944399999996,-134.4197222
Alaska,Kake,628,56.9758333,-133.9472222
Alaska,Kaktovik,155,70.1319444,-143.6238889
Alaska,Kalifornsky,7965,60.4183333,-151.29
Alaska,Kaltag,192,64.3272222,-158.7219444
Alaska,Karluk,44,57.5719444,-154.4555556
Alaska,Kasaan,71,55.5388889,-132.4008333
Alaska,Kasigluk,599,60.8955556,-162.5180556
Alaska,Kasilof,388,60.3375,-151.2744444
Alaska,Kenai,7463,60.5544444,-151.2583333
Alaska,Kenny Lake,128,61.7191667,-144.9483333
Alaska,Ketchikan,8197,55.3422222,-131.6461111
Alaska,Kiana,380,66.975,-160.4227778
Alaska,King Cove,1074,55.0616667,-162.3102778
Alaska,King Salmon,340,58.6883333,-156.6613889
Alaska,Kipnuk,686,59.9388889,-164.0413889
Alaska,Kivalina,576,67.7269444,-164.5333333
Alaska,Klawock,792,55.5522222,-133.0958333
Alaska,Klukwan,66,59.4038889,-135.8844444
Alaska,Kobuk,159,66.9072222,-156.8811111
Alaska,Kodiak,6293,57.79,-152.4072222
Alaska,Kokhanok,145,59.4419444,-154.7558333
Alaska,Koliganek,129,59.7286111,-157.2844444
Alaska,Kongiganak,408,59.9532731,-162.8951327
Alaska,Kotlik,643,63.0341667,-163.5533333
Alaska,Kotzebue,3283,66.8983333,-162.5966667
Alaska,Koyuk,272,64.9319444,-161.1569444
Alaska,Koyukuk,80,64.8802778,-157.7008333
Alaska,Kupreanof,40,56.8144444,-132.9805556
Alaska,Kwethluk,824,60.8122222,-161.4358333
Alaska,Kwigillingok,331,59.864444399999996,-163.1341667
Alaska,Lake Louise,45,62.2813889,-146.55111110000001
Alaska,Lake Minchumina,21,63.8827778,-152.3122222
Alaska,Larsen Bay,61,57.54,-153.9786111
Alaska,Lazy Mountain,1637,61.6261111,-148.9455556
Alaska,Levelock,114,59.1141667,-156.8588889
Alaska,Lime Village,7,61.3563889,-155.4355556
Alaska,Livengood,10,65.5244444,-148.5447222
Alaska,Lowell Point,141,60.0725,-149.4411111
Alaska,Lower Kalskag,317,61.5122222,-160.3580556
Alaska,Lutak,13,59.3411111,-135.5655556
Alaska,Manley Hot Springs,84,65.0011111,-150.6338889
Alaska,Manokotak,691,58.9813889,-159.0583333
Alaska,Marshall,350,61.8777778,-162.0811111
Alaska,McCarthy,107,61.4333333,-142.9216667
Alaska,McGrath,346,62.9563889,-155.5958333
Alaska,Meadow Lakes,7424,61.6247222,-149.6011111
Alaska,Mekoryuk,174,60.3880556,-166.185
Alaska,Mendeltna,22,62.0661111,-146.45
Alaska,Mentasta Lake,157,62.9211111,-143.7691667
Alaska,Metlakatla,1661,55.1291667,-131.5722222
Alaska,Minto,257,65.150411,-149.349708
Alaska,Moose Creek,728,64.71,-147.1436111
Alaska,Moose Pass,428,60.4875,-149.3688889
Alaska,Mosquito Lake,126,59.5291667,-136.0911111
Alaska,Mountain Village,749,62.0855556,-163.7294444
Alaska,Mud Bay,167,55.4208333,-131.7680556
Alaska,Naknek,567,58.7283333,-157.0138889
Alaska,Nanwalek,238,59.3563889,-151.9208333
Alaska,Napakiak,352,60.6966667,-161.9519444
Alaska,Napaskiak,408,60.7080556,-161.7661111
Alaska,Naukati Bay,32,55.8736111,-133.1847222
Alaska,Nelchina,170,61.9919444,-146.7686111
Alaska,Nelson Lagoon,42,56.0006152,-161.206974
Alaska,Nenana,406,64.5638889,-149.0930556
Alaska,New Allakaket,67,66.54268,-152.64769
Alaska,Newhalen,159,59.72,-154.8972222
Alaska,New Stuyahok,609,59.4527778,-157.3119444
Alaska,Newtok,388,60.9427778,-164.6294444
Alaska,Nightmute,259,60.4794444,-164.7238889
Alaska,Nikiski,4549,60.6902778,-151.2888889
Alaska,Nikolaevsk,234,59.8119444,-151.6105556
Alaska,Nikolai,113,63.0133333,-154.375
Alaska,Nikolski,37,52.9380556,-168.8677778
Alaska,Ninilchik,728,60.0513889,-151.6688889
Alaska,Noatak,443,67.5711111,-162.9652778
Alaska,Nome,3773,64.5011111,-165.4063889
