Year,Length,Lower,Upper
1971,849.5,836.5,862.6
1972,861.8,846.1,877.4
1973,868.7,855.2,882.2
1974,820.9,805.2,836.6
1975,799.8,787.7,812
1976,828.6,816.6,840.6
1977,856.2,845.3,867.1
1978,876.1,864.5,887.8
1979,843.9,830.9,856.9
1980,798.9,789.3,808.5
1981,841.4,832.2,850.6
1982,829.6,821.4,837.7
1983,861.5,850.4,872.5
1984,833.5,824.9,842.1
1985,839.7,831.4,847.9
1986,822.2,814.5,829.9
1987,846.5,838.5,854.4
1988,858.6,850.5,866.7
1989,835.7,827.8,843.7
1990,836.2,828,844.5
1991,809.3,800.3,818.3
1992,836.2,827.4,845.1
1993,825.9,817.2,834.7
1994,828.4,819.5,837.3
1995,841.9,833.1,850.6
1996,809.8,800.4,819.3
1997,832.3,823.2,841.4
1998,793.1,783.7,802.4
1999,825.5,816.6,834.5
2000,798.4,789.7,807
2001,830.1,821.6,838.7
2002,831.7,823.4,839.9
2003,835.6,827.5,843.7
2004,837.7,828.2,847.2
2005,803.6,795.6,811.6
2006,795.9,787.8,804
2007,793.2,785.2,801.2
2008,798.8,790.7,806.8
2009,819.2,809.8,828.7
2010,795.6,787.7,803.5
2011,819.7,811.6,827.8
2012,808.4,800.2,816.6
2013,812.6,803.7,821.5
2014,786,776.3,795.7
2015,796.9,787.3,806.6
2016,776.1,767.4,784.8
2017,787.9,779.4,796.4
