Year,Fecundity,Lower,Upper
1971,7783,7516,8061
1972,8133,7816,8455
1973,8299,8022,8583
1974,7394,7072,7722
1975,6866,6610,7121
1976,7499,7249,7749
1977,8027,7799,8254
1978,8465,8227,8715
1979,7760,7493,8032
1980,6860,6660,7065
1981,7648,7454,7848
1982,7548,7376,7720
1983,8126,7898,8359
1984,7481,7303,7659
1985,7598,7431,7776
1986,7259,7092,7420
1987,7736,7570,7909
1988,8070,7903,8242
1989,7542,7375,7708
1990,7586,7414,7764
1991,6991,6803,7180
1992,7541,7358,7730
1993,7297,7113,7480
1994,7335,7147,7524
1995,7641,7458,7824
1996,7007,6813,7207
1997,7441,7252,7635
1998,6585,6385,6779
1999,7268,7085,7463
2000,6696,6518,6885
2001,7346,7168,7529
2002,7434,7262,7618
2003,7523,7351,7690
2004,7556,7356,7756
2005,6801,6634,6973
2006,6667,6495,6839
2007,6656,6489,6823
2008,6711,6545,6878
2009,7144,6950,7344
2010,6628,6455,6783
2011,7150,6983,7322
2012,6872,6700,7044
2013,6966,6777,7149
2014,6466,6266,6666
2015,6666,6466,6871
2016,6210,6027,6399
2017,6454,6277,6632
