"Population and dwelling counts: Canada, provinces and territories, and census subdivisions (municipalities) 1"
"Frequency: Occasional"
"Table: 98-10-0002-02"
"Release date: 2022-02-09"
"Geography: Canada, Province or territory, Census division, Census subdivision"
"Universe: All persons, 2021 and 2016 censuses – 100% data"
"Variable List: Population and dwelling counts (13)"

,"Population and dwelling counts (13)","Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Total private dwellings, 2016","Total private dwellings percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021","National population rank, 2021","Province/territory population rank, 2021"
"Geographic name","Geographic area type abbreviation"
"Canada 2","Country","36,991,981","35,151,728","5.2","16,284,235","15,412,443","5.7","14,978,941","14,072,079","6.4","8,788,702.80","4.2","...","..."
"British Columbia 2","PR","5,000,879","4,648,055","7.6","2,211,694","2,063,417","7.2","2,041,834","1,881,969","8.5","920,686.55","5.4","...","..."
"Ahahswinis 1","IRI","150","119","26.1","62","61","1.6","59","54","9.3","0.41","368.0","4,055","431"
"Alberni 2","IRI","0","10","-100.0","0","3","-100.0","0","3","-100.0","0.55","0.0","4,831","644"
"Alberni-Clayoquot A","RDA","256","243","5.3","404","444","-9.0","136","132","3.0","1,619.77","0.2","3,656","380"
"Alberni-Clayoquot B","RDA","531","443","19.9","229","220","4.1","210","199","5.5","92.22","5.8","2,866","317"
"Alberni-Clayoquot C","RDA","875","677","29.2","680","359","89.4","314","267","17.6","3,199.27","0.3","2,273","281"
"Alberni-Clayoquot D","RDA","1,843","1,616","14.0","1,251","1,131","10.6","871","774","12.5","1,398.89","1.3","1,447","212"
"Alberni-Clayoquot E","RDA","2,946","2,754","7.0","1,330","1,257","5.8","1,263","1,189","6.2","21.91","134.4","1,060","163"
"Alberni-Clayoquot F","RDA","1,977","1,935","2.2","902","863","4.5","855","841","1.7","186.53","10.6","1,392","205"
"Anacla 12","IRI","104","82","26.8","52","44","18.2","44","35","25.7","0.93","112.1","4,233","456"
"Clakamucus 2","IRI","0","0","...","1","1","0.0","1","1","0.0","0.10","0.0","4,831","644"
"Elhlateese 2","IRI","10","5","100.0","13","12","8.3","4","1","300.0","2.30","4.4","4,722","592"
"Esowista 3","IRI","90","94","-4.3","35","37","-5.4","30","29","3.4","0.10","936.5","4,302","473"
"Hesquiat 1 3","IRI","..","5","..","..","3","..","..","3","..","1.55","..","..",".."
"Ittatsoo 1","IRI","321","274","17.2","110","96","14.6","102","86","18.6","0.68","474.8","3,440","364"
"Klehkoot 2","IRI","15","15","0.0","7","6","16.7","7","6","16.7","1.17","12.8","4,694","580"
"Macoah 1","IRI","27","19","42.1","21","11","90.9","17","9","88.9","0.43","62.5","4,615","556"
"Marktosis 15","IRI","760","622","22.2","202","200","1.0","181","162","11.7","1.80","423.0","2,427","293"
"Numukamis 1","IRI","0","5","-100.0","2","3","-33.3","1","3","-66.7","6.69","0.0","4,831","644"
"Opitsat 1","IRI","153","150","2.0","50","53","-5.7","40","46","-13.0","0.72","212.4","4,044","430"
"Port Alberni","CY","18,259","17,678","3.3","8,919","8,567","4.1","8,451","8,119","4.1","19.66","928.9","250","40"
"Refuge Cove 6 3","IRI","..","44","..","..","40","..","..","27","..","0.17","..","..",".."
"Sachsa 4","IRI","0","0","...","1","2","-50.0","1","0","...","0.07","0.0","4,831","644"
"Tin Wis 11","IRI","26","0","...","20","0","...","15","0","...","0.14","188.0","4,622","558"
"Tofino 4","DM","2,516","1,967","27.9","1,205","1,078","11.8","945","776","21.8","10.56","238.3","1,187","175"
"Tsahaheh 1","IRI","596","542","10.0","211","199","6.0","208","176","18.2","4.01","148.6","2,722","308"
"Ucluelet","DM","2,066","1,717","20.3","997","841","18.5","860","737","16.7","6.48","318.8","1,353","200"
"Babine 16 5","IRI","0","5","-100.0","0","2","-100.0","0","2","-100.0","2.80","0.0","4,831","644"
"Babine 25","IRI","83","112","-25.9","37","48","-22.9","26","32","-18.8","0.48","171.3","4,334","482"
"Babine 6 5","IRI","75","81","-7.4","32","45","-28.9","32","31","3.2","1.82","41.2","4,375","494"
"Babine Lake 21B","IRI","0","0","...","0","0","...","0","0","...","0.02","0.0","4,831","644"
"Binche 2","IRI","118","182","-35.2","54","81","-33.3","46","62","-25.8","4.63","25.5","4,181","446"
"Bulkley-Nechako A","RDA","5,587","5,256","6.3","2,269","2,213","2.5","2,140","2,021","5.9","3,674.43","1.5","685","89"
"Bulkley-Nechako B 5","RDA","1,706","1,885","-9.5","797","880","-9.4","710","763","-6.9","3,624.72","0.5","1,538","222"
"Bulkley-Nechako C 5","RDA","1,266","1,420","-10.8","656","740","-11.4","578","612","-5.6","25,527.99","0.0","1,836","257"
"Bulkley-Nechako D","RDA","1,607","1,472","9.2","982","854","15.0","699","663","5.4","4,389.75","0.4","1,592","235"
"Bulkley-Nechako E","RDA","1,512","1,593","-5.1","818","840","-2.6","619","621","-0.3","15,856.11","0.1","1,659","241"
"Bulkley-Nechako F","RDA","3,517","3,665","-4.0","1,790","1,902","-5.9","1,334","1,379","-3.3","5,386.26","0.7","936","143"
"Bulkley-Nechako G","RDA","836","903","-7.4","504","450","12.0","367","367","0.0","14,417.38","0.1","2,323","286"
"Burns Lake","VL","1,659","1,779","-6.7","765","748","2.3","689","684","0.7","6.54","253.7","1,561","227"
"Burns Lake 18","IRI","33","48","-31.3","14","21","-33.3","14","18","-22.2","0.56","59.4","4,586","546"
"Cheslatta 1","IRI","49","84","-41.7","44","53","-17.0","29","31","-6.5","10.81","4.5","4,516","526"
"Duncan Lake 2","IRI","5","5","0.0","4","6","-33.3","2","4","-50.0","0.67","7.5","4,760","610"
"Dzitline Lee 9","IRI","15","10","50.0","9","11","-18.2","6","4","50.0","5.44","2.8","4,694","580"
"Fort St. James","DM","1,386","1,598","-13.3","671","761","-11.8","586","644","-9.0","23.45","59.1","1,752","253"
"Francois Lake 7 3","IRI","..","10","..","..","6","..","..","3","..","1.38","..","..",".."
"Fraser Lake","VL","965","988","-2.3","543","551","-1.5","444","448","-0.9","4.06","237.4","2,154","278"
"Granisle","VL","337","303","11.2","262","284","-7.7","194","176","10.2","39.85","8.5","3,396","356"
"Houston","DM","3,052","2,993","2.0","1,461","1,402","4.2","1,271","1,242","2.3","72.88","41.9","1,031","157"
"Jean Baptiste 28","IRI","5","0","...","4","5","-20.0","3","1","200.0","1.42","3.5","4,760","610"
"Laketown 3","IRI","16","18","-11.1","7","9","-22.2","7","4","75.0","2.44","6.6","4,686","578"
"Mission Lands 17","IRI","0","0","...","1","0","...","1","0","...","0.48","0.0","4,831","644"
"Nak'azdli","IRI","528","548","-3.6","209","200","4.5","204","188","8.5","3.09","170.9","2,875","318"
"Nautley (Fort Fraser) 1","IRI","227","192","18.2","106","100","6.0","84","68","23.5","5.07","44.8","3,761","398"
