Region,Jurisdiction,Species,Run,Year,Subsistence,Commercial,CommercialRelated,PersonalUse_Domestic,TestFishery,Sport_PublicAngling,Source,Link,Notes
Yukon,Alaska,Chum,Summer chum,1991,"118,540","349,133","308,989",0,"3,934","1,037",JTC 2023,https://www.yukonriverpanel.com/download/13/joint-technical-committee-reports/3775/yukon-jtc-23-01-2022-season-review-2023-outlook.pdf,"*Sport harvests don't distinguish between summer and fall run stocks, typically all sport harvest of chum is attributed to summer chum because effort primarily occurs during summer season and in the Tanana River drainage"
Yukon,Alaska,Chum,Summer chum,1992,"142,192","332,313","211,264",0,"1,967","1,308",JTC 2023,https://www.yukonriverpanel.com/download/13/joint-technical-committee-reports/3775/yukon-jtc-23-01-2022-season-review-2023-outlook.pdf,"*Sport harvests don't distinguish between summer and fall run stocks, typically all sport harvest of chum is attributed to summer chum because effort primarily occurs during summer season and in the Tanana River drainage"
Yukon,Alaska,Chum,Summer chum,1993,"125,574","96,522","43,594",674,"1,869",564,JTC 2023,https://www.yukonriverpanel.com/download/13/joint-technical-committee-reports/3775/yukon-jtc-23-01-2022-season-review-2023-outlook.pdf,"*Sport harvests don't distinguish between summer and fall run stocks, typically all sport harvest of chum is attributed to summer chum because effort primarily occurs during summer season and in the Tanana River drainage"
Yukon,Alaska,Chum,Summer chum,1994,"124,807","80,284","178,457",0,"3,212",350,JTC 2023,https://www.yukonriverpanel.com/download/13/joint-technical-committee-reports/3775/yukon-jtc-23-01-2022-season-review-2023-outlook.pdf,"*Sport harvests don't distinguish between summer and fall run stocks, typically all sport harvest of chum is attributed to summer chum because effort primarily occurs during summer season and in the Tanana River drainage"
Yukon,Alaska,Chum,Summer chum,1995,"136,083","259,774","558,640",780,"6,073","1,174",JTC 2023,https://www.yukonriverpanel.com/download/13/joint-technical-committee-reports/3775/yukon-jtc-23-01-2022-season-review-2023-outlook.pdf,"*Sport harvests don't distinguish between summer and fall run stocks, typically all sport harvest of chum is attributed to summer chum because effort primarily occurs during summer season and in the Tanana River drainage"
Yukon,Alaska,Chum,Summer chum,1996,"124,738","147,127","535,106",905,"7,309","1,946",JTC 2023,https://www.yukonriverpanel.com/download/13/joint-technical-committee-reports/3775/yukon-jtc-23-01-2022-season-review-2023-outlook.pdf,"*Sport harvests don't distinguish between summer and fall run stocks, typically all sport harvest of chum is attributed to summer chum because effort primarily occurs during summer season and in the Tanana River drainage"
Yukon,Alaska,Chum,Summer chum,1997,"112,820","95,242","133,010",391,"2,590",662,JTC 2023,https://www.yukonriverpanel.com/download/13/joint-technical-committee-reports/3775/yukon-jtc-23-01-2022-season-review-2023-outlook.pdf,"*Sport harvests don't distinguish between summer and fall run stocks, typically all sport harvest of chum is attributed to summer chum because effort primarily occurs during summer season and in the Tanana River drainage"
Yukon,Alaska,Chum,Summer chum,1998,"87,366","28,611",187,84,"3,019",421,JTC 2023,https://www.yukonriverpanel.com/download/13/joint-technical-committee-reports/3775/yukon-jtc-23-01-2022-season-review-2023-outlook.pdf,"*Sport harvests don't distinguish between summer and fall run stocks, typically all sport harvest of chum is attributed to summer chum because effort primarily occurs during summer season and in the Tanana River drainage"
Yukon,Alaska,Chum,Summer chum,1999,"83,784","29,389",24,382,836,555,JTC 2023,https://www.yukonriverpanel.com/download/13/joint-technical-committee-reports/3775/yukon-jtc-23-01-2022-season-review-2023-outlook.pdf,"*Sport harvests don't distinguish between summer and fall run stocks, typically all sport harvest of chum is attributed to summer chum because effort primarily occurs during summer season and in the Tanana River drainage"
Yukon,Alaska,Chum,Summer chum,2000,"78,072","6,624",0,30,648,161,JTC 2023,https://www.yukonriverpanel.com/download/13/joint-technical-committee-reports/3775/yukon-jtc-23-01-2022-season-review-2023-outlook.pdf,"*Sport harvests don't distinguish between summer and fall run stocks, typically all sport harvest of chum is attributed to summer chum because effort primarily occurs during summer season and in the Tanana River drainage"
Yukon,Alaska,Chum,Summer chum,2001,"72,155",0,0,146,0,82,JTC 2023,https://www.yukonriverpanel.com/download/13/joint-technical-committee-reports/3775/yukon-jtc-23-01-2022-season-review-2023-outlook.pdf,"*Sport harvests don't distinguish between summer and fall run stocks, typically all sport harvest of chum is attributed to summer chum because effort primarily occurs during summer season and in the Tanana River drainage"
Yukon,Alaska,Chum,Summer chum,2002,"87,056","13,558",19,175,218,384,Jallen et al. 2033,https://www.adfg.alaska.gov/FedAidPDFs/SP22-20.pdf,"*Sport harvests don't distinguish between summer and fall run stocks, typically all sport harvest of chum is attributed to summer chum because effort primarily occurs during summer season and in the Tanana River drainage"
Yukon,Alaska,Chum,Summer chum,2003,"82,272","10,685",0,148,119,"1,638",Jallen et al. 2034,https://www.adfg.alaska.gov/FedAidPDFs/SP22-20.pdf,"*Sport harvests don't distinguish between summer and fall run stocks, typically all sport harvest of chum is attributed to summer chum because effort primarily occurs during summer season and in the Tanana River drainage"
Yukon,Alaska,Chum,Summer chum,2004,"77,934","26,410",0,231,217,203,Jallen et al. 2035,https://www.adfg.alaska.gov/FedAidPDFs/SP22-20.pdf,"*Sport harvests don't distinguish between summer and fall run stocks, typically all sport harvest of chum is attributed to summer chum because effort primarily occurs during summer season and in the Tanana River drainage"
Yukon,Alaska,Chum,Summer chum,2005,"93,259","41,264",0,152,134,435,Jallen et al. 2036,https://www.adfg.alaska.gov/FedAidPDFs/SP22-20.pdf,"*Sport harvests don't distinguish between summer and fall run stocks, typically all sport harvest of chum is attributed to summer chum because effort primarily occurs during summer season and in the Tanana River drainage"
Yukon,Alaska,Chum,Summer chum,2006,"115,078","92,116",0,262,456,583,Jallen et al. 2037,https://www.adfg.alaska.gov/FedAidPDFs/SP22-20.pdf,"*Sport harvests don't distinguish between summer and fall run stocks, typically all sport harvest of chum is attributed to summer chum because effort primarily occurs during summer season and in the Tanana River drainage"
Yukon,Alaska,Chum,Summer chum,2007,"92,926","198,201",0,184,10,245,Jallen et al. 2038,https://www.adfg.alaska.gov/FedAidPDFs/SP22-20.pdf,"*Sport harvests don't distinguish between summer and fall run stocks, typically all sport harvest of chum is attributed to summer chum because effort primarily occurs during summer season and in the Tanana River drainage"
