"Population and dwelling counts: Canada, provinces and territories, and census subdivisions (municipalities) 1",,,,,,,,,,,,,,
Frequency: Occasional,,,,,,,,,,,,,,
Table: 98-10-0002-02,,,,,,,,,,,,,,
Release date: 2022-02-09,,,,,,,,,,,,,,
"Geography: Canada, Province or territory, Census division, Census subdivision",,,,,,,,,,,,,,
"Universe: All persons, 2021 and 2016 censuses – 100% data",,,,,,,,,,,,,,
Variable List: Population and dwelling counts (13),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,Population and dwelling counts (13),"Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Total private dwellings, 2016","Total private dwellings percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021","National population rank, 2021","Province/territory population rank, 2021"
Geographic name,Geographic area type abbreviation,,,,,,,,,,,,,
Canada 2,Country,"36,991,981","35,151,728",5.2,"16,284,235","15,412,443",5.7,"14,978,941","14,072,079",6.4,"8,788,702.80",4.2,...,...
Yukon,TERR,"40,232","35,874",12.1,"19,610","17,987",9,"17,181","15,215",12.9,"472,345.44",0.1,...,...
Beaver Creek,SÉ,78,93,-16.1,61,71,-14.1,40,41,-2.4,26.66,2.9,"4,363",21
Burwash Landing,SÉ,64,72,-11.1,52,74,-29.7,44,47,-6.4,30.44,2.1,"4,437",22
Carcross,SÉ,317,301,5.3,229,228,0.4,168,151,11.3,15.56,20.4,"3,453",14
Carcross 4,SG,37,35,5.7,16,18,-11.1,16,17,-5.9,0.58,64.1,"4,570",24
Carmacks,VL,588,493,19.3,302,271,11.4,263,202,30.2,36.87,15.9,"2,734",8
Champagne Landing 10 3,S-É,22,20,10,30,43,-30.2,17,18,-5.6,4.82,4.6,"4,649",26
Dawson,T,"1,577","1,375",14.7,836,756,10.6,770,678,13.6,30.91,51,"1,618",2
Destruction Bay,SÉ,40,55,-27.3,32,32,0,16,22,-27.3,13.9,2.9,"4,553",23
Faro,T,440,348,26.4,423,444,-4.7,210,173,21.4,199.89,2.2,"3,077",11
Haines Junction,VL,688,613,12.2,380,336,13.1,311,277,12.3,34.3,20.1,"2,547",7
Ibex Valley,HAM,523,411,27.3,261,216,20.8,225,190,18.4,207.13,2.5,"2,885",9
Johnsons Crossing,SÉ,10,10,0,12,12,0,3,5,-40,21.98,0.5,"4,722",29
Keno Hill,SÉ,20,20,0,52,33,57.6,16,17,-5.9,53.88,0.4,"4,658",27
Kloo Lake,S-É,0,0,...,2,3,-33.3,1,0,...,33.45,0,"4,831",32
Lake Laberge 1,SG,24,25,-4,13,20,-35,10,10,0,1.17,20.4,"4,645",25
Macpherson-Grizzly Valley,NO,"1,540","1,245",23.7,865,647,33.7,713,552,29.2,"1,834.28",0.8,"1,642",3
Marsh Lake,NO,746,696,7.2,527,531,-0.8,377,343,9.9,817.11,0.9,"2,445",6
Mayo,VL,188,200,-6,149,133,12,108,98,10.2,0.98,191.4,"3,895",19
Moosehide Creek 2,SG,0,0,...,0,27,-100,0,0,...,8.5,0,"4,831",32
Mt. Lorne,HAM,468,437,7.1,246,219,12.3,222,196,13.3,159.23,2.9,"3,012",10
North Slope 3,NO,0,0,...,0,0,...,0,0,...,"17,788.41",0,"4,831",32
Old Crow,SÉ,236,221,6.8,168,189,-11.1,116,108,7.4,13.51,17.5,"3,728",18
Pelly Crossing,SÉ,316,353,-10.5,159,159,0,139,148,-6.1,32.28,9.8,"3,455",15
Ross River,SÉ,355,293,21.2,184,199,-7.5,160,129,24,20.48,17.3,"3,328",13
Stewart Crossing,SÉ,10,17,-41.2,20,20,0,5,11,-54.5,28.68,0.3,"4,722",29
Swift River 3,SÉ,5,0,...,3,6,-50,3,1,200,22.88,0.2,"4,760",31
Tagish,SÉ,311,249,24.9,413,400,3.3,164,142,15.5,45.26,6.9,"3,475",16
Teslin 3,VL,239,255,-6.3,144,145,-0.7,126,118,6.8,3.77,63.3,"3,722",17
Teslin,TL,0,0,...,0,0,...,0,0,...,25.93,0,"4,831",32
Teslin Post 13 3,SG,19,30,-36.7,11,17,-35.3,10,16,-37.5,1.17,16.2,"4,676",28
Upper Liard,SÉ,130,125,4,63,80,-21.3,55,55,0,5.56,23.4,"4,130",20
Watson Lake 3,T,"1,133","1,083",4.6,564,609,-7.4,499,471,5.9,109.77,10.3,"1,965",5
Whitehorse,CY,"28,201","25,085",12.4,"11,970","10,710",11.8,"11,436","10,187",12.3,413.94,68.1,166,1
"Whitehorse, Unorganized",NO,411,326,26.1,239,173,38.2,203,147,38.1,"5,032.35",0.1,"3,145",12
"Yukon, Unorganized 3",NO,"1,496","1,388",7.8,"1,184","1,166",1.5,735,645,14,"445,269.81",0,"1,667",4
,,,,,,,,,,,,,,
Symbol legend:,,,,,,,,,,,,,,
..., not applicable,,,,,,,,,,,,,
r, revised,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Abbreviation notes:,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
List of abbreviations and acronyms found within various Census products.,,,,,,,,,,,,,,
(https://www12.statcan.gc.ca/census-recensement/2021/ref/symb-ab-acr-eng.cfm),,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
Footnotes:,,,,,,,,,,,,,,
